"dcterms:identifier";"aorum:gildingGenericTerm";"aorum:gildingSpecificTerm";"aorum:gildingTechnique";"dcterms:spatial";"aorum:harmonise";"aorum:incertitude";"aorum:spatialharmonise";"aorum:spatialincertitude"
"SEm1480AnoPraCSA";"Parure";"Bijou";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1480AnoPraCSA";"Attribut";"Attribut guerrier";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1540MIWPraCSA";"Fond d'or";;"Sur bol";"Pays germaniques";"Bol";0;"Pays germaniques";0
"SEm1540MIWPraCSA";"Cadre";"Écoinçon";"Sur bol";"Pays germaniques";"Bol";0;"Pays germaniques";0
"SEm1540MIWPraCSA";"Objet";"Orfèvrerie";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1540MIWPraCSA";"Vêtement";"Orfroi";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1540MIWPraCSA";"Attribut";"Attribut guerrier";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1540MIWPraCSA";"Parure";"Bijou";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1540MIWPraCSA";"Objet";"Livre";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1540MIWPraCSA";"Décor textile";"Tenture";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"Por1592DTeixMMIPO";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"Por1608AnoMMIPO";"Attribut";"Regalia";"Or coquille (?)";"Portugal";"Coquille";1;"Portugal";0
"Por1608AnoMMIPO";"Attribut";"Attribut clérical";"Or coquille (?)";"Portugal";"Coquille";1;"Portugal";0
"Por1608AnoMMIPO";"Attribut religieux";"Nimbe";"Mixtion (?)";"Portugal";"Mixtion";1;"Portugal";0
"SEm1500MLAPraCSA01";"Fond d'or";;"Bol";"Pays germaniques";"Bol";0;"Pays germaniques";0
"SEm1500MLAPraCSA01";"Attribut religieux";"Nimbe";"Bol";"Pays germaniques";"Bol";0;"Pays germaniques";0
"SEm1520LCaPraCSA";"Attribut religieux";"Nimbe";"Mixtion";"Pays germaniques";"Mixtion";0;"Pays germaniques";0
"SEm1520GHerlPraCSA";"Attribut religieux";"Nimbe";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1520GHerlPraCSA";"Cadre";"Écoinçon";"Bol (?)";"Pays germaniques";"Bol";1;"Pays germaniques";0
"SEm1520GHerlPraCSA";"Vêtement";"Orfroi";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1520GHerlPraCSA";"Attribut";"Regalia";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1520GHerlPraCSA";"Parure";"Bijou";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1520GHerlPraCSA";"Objet";"Instrument";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1500MLAPraCSA02";"Fond d'or";;"Bol";"Pays germaniques";"Bol";0;"Pays germaniques";0
"SEm1500MLAPraCSA02";"Objet";"Orfèvrerie";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
"SEm1515MLAPraCSA01";"Vêtement";"Orfroi";"Mixtion (?)";"Pays germaniques";"Mixtion";1;"Pays germaniques";0
