"dcterms:identifier";"dcterms:spatial";"aorum:cityOfCreation";"spatial:harmonise";"spatial:incertain";"cityOfCreation:harmonise";"cityOfCreation:incertain"
"Por1600AnoMNAA01";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"PBa1550AnoMNAA02";"Pays-Bas (XVIᵉ s)";;"Pays-Bas (XVIᵉ s)";0;"Ville inconnue (Pays-Bas)";0
"PBa1500AnoMNAA08";"Pays-Bas (XVIᵉ s)";;"Pays-Bas (XVIᵉ s)";0;"Ville inconnue (Pays-Bas)";0
"PBa1500AnoMNAA09";"Pays-Bas (XVIᵉ s)";;"Pays-Bas (XVIᵉ s)";0;"Ville inconnue (Pays-Bas)";0
"Esp1600AnoMNAA";"Espagne";;"Espagne";0;"Ville inconnue (Espagne)";0
"Por1500AnoMNAA03";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1550FdHMNAA";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1540AnoMNAA03";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1540AnoMNAA04";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Esp1500AnoMNAA05";"Espagne";;"Espagne";0;"Ville inconnue (Espagne)";0
"Por1500FigueMNAA";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1520AnoMNAA03";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1600PaivMNAA";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Ita1700AnoMNAA01";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Por1500MdSMNAA01";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1500MdSMNAA02";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1500MdSMNAA03";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1500MdSMNAA04";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1500MdSMNAA05";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1500MdSMNAA06";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1600AnoMNAA02";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1600AnoMNAA03";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"PBE1648JvKMNAA";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"PBa1505AnoMNAA";"Pays-Bas (XVIᵉ s)";;"Pays-Bas (XVIᵉ s)";0;"Ville inconnue (Pays-Bas)";0
"Por1600AnoMNAA04";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Ita1600AnoMNAA";"Péninsule italienne (?)";;"Péninsule italienne";1;"Ville inconnue (Péninsule italienne)";1
"Ita1525LMaMNAA";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Esp1500AnoMNAA06";"Espagne";;"Espagne";0;"Ville inconnue (Espagne)";0
"Por1575MBOMNAA";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1537GFernaMNAA01";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"Por1600AnoMNAA05";"Portugal";;"Portugal";0;"Ville inconnue (Portugal)";0
"As1600AnoMNAA";"Asie";;"Asie";0;"Ville inconnue (Asie)";0
"As1555AnoMNAA01";"Asie";"Goa";"Asie";0;"Goa";0
"As1555AnoMNAA02";"Asie";"Goa";"Asie";0;"Goa";0
"Ita1560CesuWall";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"Ang1545BettesTB";"Angleterre";;"Angleterre";0;"Ville inconnue (Angleterre)";0
"Ang1590AnoTB";"Angleterre";;"Angleterre";0;"Ville inconnue (Angleterre)";0
"Ita1500AnoDiBA";"Péninsule italienne";;"Péninsule italienne";0;"Ville inconnue (Péninsule italienne)";0
"SEm1478MRoCoDiBA01";"Pays germaniques";"Strasbourg";"Pays germaniques";0;"Strasbourg";0
"SEm1478MRoCoDiBA02";"Pays germaniques";"Strasbourg";"Pays germaniques";0;"Strasbourg";0
"Ang1540AnoHoly";"Angleterre";;"Angleterre";0;"Ville inconnue (Angleterre)";0
"Ang1610AnoHoly";"Angleterre";;"Angleterre";0;"Ville inconnue (Angleterre)";0
"SEm1520LCaPraCh";"Pays germaniques";;"Pays germaniques";0;"Ville inconnue (Pays germaniques)";0
"SEm1510AnoPraCSA02";"Pays germaniques";"Bohème (?)";"Pays germaniques";0;"Bohème";1
