lambda_nm;Rnorm_eprouvette_2_detrempe_pt1_bruni_non-verni_tot;DR_eprouvette_2_detrempe_pt1_bruni_non-verni_tot;Rnorm_eprouvette_2_detrempe_pt2_bruni_verni_tot;DR_eprouvette_2_detrempe_pt2_bruni_verni_tot;Rnorm_eprouvette_2_detrempe_pt3_non-bruni_non-verni_tot;DR_eprouvette_2_detrempe_pt3_non-bruni_non-verni_tot;Rnorm_eprouvette_2_detrempe_pt4_non-bruni_verni_tot;DR_eprouvette_2_detrempe_pt4_non-bruni_verni_tot;Rnorm_eprouvette_3_detrempe_pt1_bruni_non-verni_tot;DR_eprouvette_3_detrempe_pt1_bruni_non-verni_tot;Rnorm_eprouvette_3_detrempe_pt2_bruni_verni_tot;DR_eprouvette_3_detrempe_pt2_bruni_verni_tot;Rnorm_eprouvette_5_mixtion_pt1_tot;DR_eprouvette_5_mixtion_pt1_tot;Rnorm_eprouvette_6_coquille_pt1_liant_verni_tot;DR_eprouvette_6_coquille_pt1_liant_verni_tot;Rnorm_eprouvette_6_coquille_pt2_liant_eau_tot;DR_eprouvette_6_coquille_pt2_liant_eau_tot
405,5;14,9908;0,0252847;11,6682;0,0234185;2,1661;0,00168001;2,15536;0,00194239;6,19465;0,00883366;4,00644;0,0053625;4,72048;0,00674887;1,36648;0,00327607;0,705397;0,0025335
405,6;14,9959;0,025696;11,6721;0,0238259;2,16659;0,0017349;2,15594;0,00201666;6,1964;0,00900848;4,00728;0,00547769;4,72166;0,0068761;1,36689;0,00331515;0,705819;0,00256948
405,7;15,0009;0,0261008;11,6761;0,0242255;2,16709;0,00179254;2,15652;0,00209168;6,19815;0,0091816;4,00814;0,00559348;4,72286;0,00700296;1,36732;0,00334814;0,706249;0,00260527
405,8;15,0061;0,0265009;11,6802;0,0246179;2,16761;0,00185274;2,15709;0,00216689;6,19992;0,00935291;4,00904;0,00570927;4,72409;0,00712966;1,36778;0,00337604;0,706688;0,00264055
405,9;15,0112;0,0268983;11,6843;0,0250039;2,16815;0,00191529;2,15764;0,00224176;6,2017;0,00952231;4,00999;0,00582446;4,72537;0,00725641;1,36826;0,00339984;0,707135;0,002675
406;15,0165;0,0272947;11,6886;0,0253841;2,16872;0,00197997;2,15816;0,00231575;6,20352;0,0096897;4,01099;0,00593844;4,7267;0,00738341;1,36876;0,00342053;0,70759;0,00270829
406,1;15,0219;0,0276919;11,6931;0,0257593;2,1693;0,00204658;2,15864;0,00238834;6,20537;0,00985498;4,01206;0,00605063;4,7281;0,00751084;1,3693;0,00343908;0,708051;0,00274013
406,2;15,0273;0,0280902;11,6976;0,0261296;2,1699;0,00211489;2,15909;0,00245926;6,20723;0,010018;4,01318;0,0061606;4,72955;0,00763865;1,36985;0,00345621;0,708517;0,00277039
406,3;15,0328;0,0284888;11,7022;0,0264948;2,1705;0,00218461;2,15949;0,00252842;6,20907;0,0101786;4,01433;0,00626806;4,73103;0,00776662;1,37042;0,00347245;0,708988;0,00279906
406,4;15,0381;0,0288868;11,7067;0,0268544;2,17109;0,0022555;2,15985;0,00259581;6,21088;0,0103366;4,01548;0,00637274;4,73251;0,00789447;1,371;0,00348827;0,709461;0,00282619
406,5;15,0432;0,029283;11,7112;0,0272082;2,17166;0,00232727;2,16018;0,00266139;6,21263;0,0104919;4,01663;0,00647437;4,73397;0,00802193;1,37157;0,00350417;0,709935;0,00285182
406,6;15,0481;0,0296764;11,7155;0,0275557;2,1722;0,00239966;2,16046;0,00272514;6,21429;0,0106442;4,01774;0,0065727;4,73538;0,00814873;1,37213;0,00352062;0,71041;0,00287598
406,7;15,0527;0,030066;11,7196;0,0278965;2,17269;0,0024724;2,1607;0,00278702;6,21584;0,0107935;4,01879;0,00666745;4,73672;0,00827459;1,37266;0,0035381;0,710884;0,00289871
406,8;15,0569;0,0304508;11,7234;0,0282304;2,17313;0,00254523;2,1609;0,002847;6,21724;0,0109395;4,01976;0,00675837;4,73797;0,00839925;1,37317;0,00355708;0,711354;0,00292005
406,9;15,0607;0,0308296;11,7268;0,0285569;2,1735;0,00261786;2,16105;0,00290507;6,21849;0,011082;4,02064;0,00684518;4,7391;0,00852243;1,37365;0,00357806;0,711821;0,00294004
407;15,0639;0,0312016;11,7298;0,0288757;2,17379;0,00269004;2,16116;0,00296118;6,21955;0,0112209;4,02139;0,00692763;4,74009;0,00864385;1,37407;0,00360151;0,712283;0,00295871
407,1;15,0665;0,0315656;11,7324;0,0291863;2,174;0,00276146;2,16123;0,00301528;6,22041;0,0113561;4,02201;0,00700548;4,74092;0,00876325;1,37445;0,00362781;0,712737;0,00297609
407,2;15,0685;0,0319209;11,7345;0,0294884;2,17413;0,0028316;2,16125;0,00306718;6,22108;0,0114872;4,02251;0,00707864;4,74162;0,00888038;1,37478;0,00365682;0,713183;0,0029921
407,3;15,0702;0,0322668;11,7363;0,0297812;2,17419;0,00289975;2,16124;0,00311655;6,2216;0,0116142;4,0229;0,00714718;4,74218;0,00899503;1,37508;0,0036879;0,713618;0,00300656
407,4;15,0714;0,0326027;11,7378;0,0300642;2,1742;0,00296515;2,16121;0,00316303;6,22201;0,0117367;4,02321;0,00721117;4,74265;0,00910697;1,37534;0,00372032;0,714039;0,00301929
407,5;15,0724;0,0329279;11,7391;0,0303367;2,17417;0,00302707;2,16115;0,00320625;6,22232;0,0118546;4,02346;0,00727073;4,74304;0,00921598;1,37559;0,00375331;0,714445;0,00303008
407,6;15,0733;0,0332419;11,7402;0,0305981;2,1741;0,00308473;2,16107;0,00324586;6,22257;0,0119675;4,02365;0,00732592;4,74338;0,00932185;1,37582;0,00378614;0,714832;0,00303876
407,7;15,074;0,033544;11,7413;0,0308478;2,17401;0,0031374;2,16099;0,0032815;6,2228;0,0120754;4,02382;0,00737685;4,74367;0,00942435;1,37605;0,00381805;0,7152;0,00304513
407,8;15,0747;0,0338337;11,7423;0,0310851;2,17391;0,00318431;2,16089;0,0033128;6,22302;0,0121779;4,02399;0,0074236;4,74395;0,00952328;1,37628;0,00384831;0,715544;0,00304899
407,9;1,5076E+1;0,0341102;11,7435;0,0313095;2,17382;0,00322471;2,16079;0,00333942;6,22328;0,0122747;4,02416;0,00746627;4,74424;0,00961841;1,37653;0,00387617;0,715864;0,00305016
408;15,0764;0,034373;11,7447;0,0315202;2,17374;0,00325785;2,1607;0,00336098;6,2236;0,0123658;4,02437;0,00750495;4,74456;0,00970953;1,3768;0,00390087;0,716158;0,00304844
408,1;15,0776;0,0346211;11,7462;0,0317164;2,17368;0,00328311;2,16062;0,00337725;6,22401;0,0124507;4,02462;0,00753967;4,74492;0,0097963;1,37709;0,00392178;0,716422;0,00304369
